"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 1708","Cook County","Illinois","1.43%",687,11,73,0,771,11,1.42671854734112
"Census Tract 1709","Cook County","Illinois","1.53%",288,3,33,2,326,5,1.53374233128834
"Census Tract 1710","Cook County","Illinois","1.38%",1301,14,131,6,1452,20,1.37741046831956
"Census Tract 1711","Cook County","Illinois","2.39%",687,16,88,3,794,19,2.39294710327456
"Census Tract 1801","Cook County","Illinois","2.10%",1051,19,160,7,1237,26,2.1018593371059
"Census Tract 1901","Cook County","Illinois","2.49%",278,4,74,5,361,9,2.49307479224377
"Census Tract 1902","Cook County","Illinois","1.47%",754,8,120,5,887,13,1.46561443066516
"Census Tract 1903","Cook County","Illinois","2.28%",772,16,128,5,921,21,2.28013029315961
"Census Tract 1904.01","Cook County","Illinois","1.62%",656,7,75,5,743,12,1.61507402422611
"Census Tract 1904.02","Cook County","Illinois","2.02%",750,10,125,8,893,18,2.01567749160134
"Census Tract 1906.01","Cook County","Illinois","1.52%",560,7,86,3,656,10,1.52439024390244
"Census Tract 1906.02","Cook County","Illinois","2.03%",713,14,109,3,839,17,2.02622169249106
"Census Tract 1907.01","Cook County","Illinois","1.12%",371,4,71,1,447,5,1.11856823266219
"Census Tract 1907.02","Cook County","Illinois","1.83%",620,10,129,4,763,14,1.8348623853211
"Census Tract 1908","Cook County","Illinois","2.57%",860,15,165,12,1052,27,2.56653992395437
"Census Tract 1909","Cook County","Illinois","1.98%",245,5,52,1,303,6,1.98019801980198
"Census Tract 1910","Cook County","Illinois","0.52%",314,2,72,0,388,2,0.515463917525773
"Census Tract 1911","Cook County","Illinois","2.21%",928,19,177,6,1130,25,2.21238938053097
"Census Tract 1912","Cook County","Illinois","2.22%",462,5,111,8,586,13,2.21843003412969
"Census Tract 1913.01","Cook County","Illinois","1.63%",621,8,103,4,736,12,1.6304347826087
"Census Tract 1913.02","Cook County","Illinois","1.50%",590,9,133,2,734,11,1.49863760217984
"Census Tract 2001","Cook County","Illinois","3.13%",541,8,141,14,704,22,3.125
"Census Tract 2002","Cook County","Illinois","2.08%",630,6,169,11,816,17,2.08333333333333
"Census Tract 2003","Cook County","Illinois","2.61%",243,3,56,5,307,8,2.60586319218241
"Census Tract 2004.01","Cook County","Illinois","2.30%",472,7,79,6,564,13,2.30496453900709
"Census Tract 2004.02","Cook County","Illinois","1.90%",566,13,104,0,683,13,1.90336749633968
"Census Tract 2101","Cook County","Illinois","3.61%",654,20,174,11,859,31,3.60884749708964
"Census Tract 2104","Cook County","Illinois","4.02%",363,10,114,10,497,20,4.02414486921529
"Census Tract 2105.01","Cook County","Illinois","3.69%",404,9,170,13,596,22,3.69127516778523
"Census Tract 2105.02","Cook County","Illinois","1.52%",500,5,215,6,726,11,1.51515151515152
"Census Tract 2106.01","Cook County","Illinois","2.09%",361,3,107,7,478,10,2.09205020920502
"Census Tract 2106.02","Cook County","Illinois","4.05%",472,14,192,14,692,28,4.04624277456647
"Census Tract 2107","Cook County","Illinois","3.01%",521,12,188,10,731,22,3.00957592339261
"Census Tract 2108","Cook County","Illinois","0.52%",145,1,47,0,193,1,0.518134715025907
"Census Tract 2109","Cook County","Illinois","3.69%",499,13,154,12,678,25,3.68731563421829
"Census Tract 2203","Cook County","Illinois","5.16%",299,11,142,13,465,24,5.16129032258065
"Census Tract 2204","Cook County","Illinois","5.38%",349,10,161,19,539,29,5.38033395176252
"Census Tract 2205","Cook County","Illinois","4.13%",341,7,193,16,557,23,4.12926391382406
"Census Tract 2206.01","Cook County","Illinois","6.13%",230,9,61,10,310,19,6.12903225806452
"Census Tract 2206.02","Cook County","Illinois","5.48%",496,20,246,23,785,43,5.47770700636943
"Census Tract 2207.01","Cook County","Illinois","4.18%",382,8,122,14,526,22,4.18250950570342
"Census Tract 2207.02","Cook County","Illinois","5.00%",450,9,177,24,660,33,5
"Census Tract 2209.01","Cook County","Illinois","4.75%",323,12,98,9,442,21,4.75113122171946
"Census Tract 2209.02","Cook County","Illinois","3.68%",394,10,103,9,516,19,3.68217054263566
"Census Tract 2210","Cook County","Illinois","5.58%",263,8,126,15,412,23,5.58252427184466
"Census Tract 2211","Cook County","Illinois","4.59%",465,8,241,26,740,34,4.59459459459459
"Census Tract 2212","Cook County","Illinois","6.17%",371,16,192,21,600,37,6.16666666666667
"Census Tract 2213","Cook County","Illinois","2.82%",366,7,185,9,567,16,2.82186948853616
"Census Tract 2214","Cook County","Illinois","3.75%",444,4,224,22,694,26,3.7463976945245
"Census Tract 2215","Cook County","Illinois","2.60%",377,3,148,11,539,14,2.5974025974026
"Census Tract 2216","Cook County","Illinois","4.03%",538,19,176,11,744,30,4.03225806451613
"Census Tract 2222","Cook County","Illinois","3.67%",349,8,123,10,490,18,3.6734693877551
"Census Tract 2225","Cook County","Illinois","1.82%",193,5,76,0,274,5,1.82481751824818
"Census Tract 2226","Cook County","Illinois","6.99%",160,7,106,13,286,20,6.99300699300699
"Census Tract 2227","Cook County","Illinois","4.22%",215,8,103,6,332,14,4.21686746987952
"Census Tract 2228","Cook County","Illinois","6.79%",101,5,50,6,162,11,6.79012345679012
"Census Tract 2229","Cook County","Illinois","5.59%",136,5,33,5,179,10,5.58659217877095
"Census Tract 2301","Cook County","Illinois","7.31%",166,8,75,11,260,19,7.30769230769231
"Census Tract 2302","Cook County","Illinois","4.26%",209,10,83,3,305,13,4.26229508196721
"Census Tract 2303","Cook County","Illinois","3.70%",100,4,30,1,135,5,3.7037037037037
"Census Tract 2304","Cook County","Illinois","3.51%",290,6,67,7,370,13,3.51351351351351
"Census Tract 2305","Cook County","Illinois","2.86%",359,11,83,2,455,13,2.85714285714286
"Census Tract 2306","Cook County","Illinois","3.34%",682,13,185,17,897,30,3.34448160535117
"Census Tract 2307","Cook County","Illinois","3.56%",742,19,178,15,954,34,3.56394129979036
"Census Tract 2308","Cook County","Illinois","2.59%",161,3,27,2,193,5,2.59067357512953
"Census Tract 2309","Cook County","Illinois","4.68%",494,21,239,15,769,36,4.6814044213264
"Census Tract 2311","Cook County","Illinois","4.90%",92,6,44,1,143,7,4.89510489510489
"Census Tract 2312","Cook County","Illinois","3.02%",431,11,211,9,662,20,3.02114803625378
"Census Tract 2315","Cook County","Illinois","5.27%",321,15,182,13,531,28,5.27306967984934
"Census Tract 2402","Cook County","Illinois","4.20%",256,8,86,7,357,15,4.20168067226891
"Census Tract 2403","Cook County","Illinois","4.23%",221,8,73,5,307,13,4.23452768729642
"Census Tract 2405","Cook County","Illinois","4.81%",448,13,185,19,665,32,4.81203007518797
"Census Tract 2406","Cook County","Illinois","4.40%",225,11,101,4,341,15,4.39882697947214
"Census Tract 2407","Cook County","Illinois","2.88%",203,5,67,3,278,8,2.87769784172662
"Census Tract 2408","Cook County","Illinois","3.39%",202,5,83,5,295,10,3.38983050847458
"Census Tract 2409","Cook County","Illinois","7.53%",116,9,56,5,186,14,7.52688172043011
"Census Tract 2410","Cook County","Illinois","6.10%",192,7,116,13,328,20,6.09756097560976
"Census Tract 2411","Cook County","Illinois","3.13%",365,3,253,17,638,20,3.13479623824451
"Census Tract 2412","Cook County","Illinois","4.91%",238,9,91,8,346,17,4.91329479768786
"Census Tract 2413","Cook County","Illinois","2.05%",233,6,101,1,341,7,2.05278592375367
"Census Tract 2414","Cook County","Illinois","2.78%",718,14,332,16,1080,30,2.77777777777778
"Census Tract 2415","Cook County","Illinois","2.41%",423,3,185,12,623,15,2.40770465489567
"Census Tract 2416","Cook County","Illinois","3.43%",360,10,259,12,641,22,3.43213728549142
"Census Tract 2420","Cook County","Illinois","2.98%",539,9,274,16,838,25,2.98329355608592
"Census Tract 2421","Cook County","Illinois","3.42%",607,12,297,20,936,32,3.41880341880342
"Census Tract 2422","Cook County","Illinois","3.20%",609,9,328,22,968,31,3.20247933884298
